game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,1.1363636363636365,0,0,1500
1,20,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,22.727272727272727,1,100,56
2,20,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,22.727272727272727,0,0,1500
3,20,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,22.727272727272727,0,0,1500
4,20,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,22.727272727272727,0,0,1500
5,24,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,27.27272727272727,1,100,21
6,24,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,27.27272727272727,0,0,1500
7,24,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,27.27272727272727,0,0,1500
8,26,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,29.545454545454547,1,100,42
9,28,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,31.818181818181817,1,100,42
10,28,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,31.818181818181817,0,0,1500
11,28,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,31.818181818181817,0,0,1500
12,28,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,31.818181818181817,0,0,1500
13,28,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,31.818181818181817,0,0,1500
14,34,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,38.63636363636363,1,100,19
15,35,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,39.77272727272727,1,100,38
16,35,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,39.77272727272727,0,0,1500
17,35,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,39.77272727272727,0,0,1500
18,35,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,39.77272727272727,0,0,1500
19,44,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,50,1,100,18
20,47,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,53.40909090909091,1,100,33
21,48,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,54.54545454545454,1,100,23
22,48,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,54.54545454545454,1,100,23
23,50,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,56.81818181818182,1,100,68
24,51,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,57.95454545454546,1,100,45
25,51,controllers.singlePlayer.breadthFirstSearch2.Agent,456192,57.95454545454546,0,0,1500
