game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,11,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,3.571428571428571,10,100,1590
1,30,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,9.740259740259742,23,100,1661
2,31,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,10.064935064935066,12,100,1532
3,31,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,10.064935064935066,10,0,2000
4,46,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,14.935064935064934,21,100,652
5,48,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,15.584415584415584,10,100,1297
6,48,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,15.584415584415584,10,100,687
7,49,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,15.909090909090908,13,0,2000
8,50,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,16.233766233766232,10,100,1329
9,54,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,17.532467532467532,13,100,1368
10,58,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,18.83116883116883,10,100,1641
11,65,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,21.1038961038961,10,100,710
12,65,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,21.1038961038961,8,100,1021
13,65,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,21.1038961038961,8,100,1471
14,66,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,21.428571428571427,12,100,1760
15,66,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,21.428571428571427,9,100,853
16,66,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,21.428571428571427,9,100,770
17,73,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,23.7012987012987,13,0,2000
18,75,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,24.350649350649352,9,100,1655
19,75,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,24.350649350649352,10,100,816
20,78,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,25.324675324675322,6,100,1343
21,79,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,25.649350649350648,10,100,1290
22,81,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,26.2987012987013,9,100,771
23,100,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,32.467532467532465,26,100,971
24,100,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,32.467532467532465,11,100,1516
25,100,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,32.467532467532465,9,100,951
26,100,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,32.467532467532465,10,100,1391
27,105,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,34.090909090909086,10,100,845
28,105,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,34.090909090909086,12,100,879
29,105,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,34.090909090909086,10,100,1358
30,114,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,37.01298701298701,21,100,1903
31,120,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,38.961038961038966,26,100,1633
32,120,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,38.961038961038966,10,100,1956
33,120,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,38.961038961038966,7,100,679
34,120,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,38.961038961038966,10,100,1914
35,125,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,40.58441558441558,19,100,1182
36,127,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,41.23376623376623,10,100,915
37,127,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,41.23376623376623,11,0,2000
38,133,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.18181818181818,18,100,1226
39,133,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.18181818181818,12,100,1563
40,133,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.18181818181818,11,100,837
41,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,14,100,1630
42,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,10,100,933
43,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,12,100,1183
44,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,9,100,1377
45,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,11,100,1798
46,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,13,100,1528
47,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,12,0,2000
48,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,12,100,1011
49,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,10,100,569
50,135,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,43.83116883116883,9,100,1098
51,136,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.15584415584416,25,100,1702
52,136,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.15584415584416,8,100,1202
53,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,25,100,755
54,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,8,100,1907
55,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,9,100,1455
56,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,12,100,1300
57,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,12,100,1241
58,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,11,100,713
59,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,6,100,1319
60,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,11,0,2000
61,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,18,0,2000
62,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,9,100,787
63,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,8,100,1007
64,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,15,100,658
65,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,13,100,1293
66,137,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.48051948051948,9,100,1688
67,138,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.8051948051948,20,100,1205
68,138,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.8051948051948,9,100,889
69,138,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.8051948051948,13,100,821
70,138,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.8051948051948,12,100,962
71,138,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.8051948051948,12,0,2000
72,138,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,44.8051948051948,8,100,923
73,139,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.12987012987013,12,0,2000
74,139,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.12987012987013,10,100,1474
75,139,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.12987012987013,10,100,1099
76,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,11,100,1447
77,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,10,100,1033
78,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,8,0,2000
79,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,12,100,1223
80,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,10,100,1504
81,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,10,100,1741
82,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,12,100,712
83,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,9,100,565
84,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,10,100,1471
85,140,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.45454545454545,16,100,1501
86,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,6,100,983
87,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,8,100,1691
88,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,4,100,1204
89,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,15,100,631
90,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,10,100,958
91,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,14,100,1070
92,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,17,100,1253
93,141,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,45.77922077922078,2,100,1138
94,142,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,46.103896103896105,4,100,1227
95,142,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,46.103896103896105,13,100,1547
96,142,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,46.103896103896105,11,100,844
97,142,controllers.singlePlayer.sampleFlatMCTS.Agent,241472,46.103896103896105,12,100,1253
