game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,11,controllers.singlePlayer.sampleMCTS.Agent,288750,2.380952380952381,0,0,509
1,14,controllers.singlePlayer.sampleMCTS.Agent,288750,3.0303030303030303,0,0,701
2,20,controllers.singlePlayer.sampleMCTS.Agent,288750,4.329004329004329,2,0,2000
3,42,controllers.singlePlayer.sampleMCTS.Agent,288750,9.090909090909092,0,0,1103
4,42,controllers.singlePlayer.sampleMCTS.Agent,288750,9.090909090909092,0,0,1275
5,42,controllers.singlePlayer.sampleMCTS.Agent,288750,9.090909090909092,0,0,311
6,49,controllers.singlePlayer.sampleMCTS.Agent,288750,10.606060606060606,0,0,713
7,50,controllers.singlePlayer.sampleMCTS.Agent,288750,10.822510822510822,1,0,951
8,50,controllers.singlePlayer.sampleMCTS.Agent,288750,10.822510822510822,2,0,2000
9,50,controllers.singlePlayer.sampleMCTS.Agent,288750,10.822510822510822,0,0,984
10,50,controllers.singlePlayer.sampleMCTS.Agent,288750,10.822510822510822,0,0,305
11,50,controllers.singlePlayer.sampleMCTS.Agent,288750,10.822510822510822,0,0,227
12,58,controllers.singlePlayer.sampleMCTS.Agent,288750,12.554112554112553,0,0,839
13,58,controllers.singlePlayer.sampleMCTS.Agent,288750,12.554112554112553,0,0,426
14,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,2,0,2000
15,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,437
16,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,425
17,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,764
18,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,929
19,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,652
20,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,625
21,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,2,0,2000
22,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,341
23,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,1,0,2000
24,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,1272
25,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,295
26,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,2,0,2000
27,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,845
28,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,2,0,2000
29,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,821
30,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,1,0,2000
31,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,1,0,579
32,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,1,0,2000
33,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,503
34,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,778
35,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,731
36,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,322
37,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,0,0,1608
38,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,2,0,1976
39,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,1,0,2000
40,76,controllers.singlePlayer.sampleMCTS.Agent,288750,16.450216450216452,1,0,2000
