game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,6,controllers.singlePlayer.sampleRandom.Agent,75000,20,0,0,2000
1,6,controllers.singlePlayer.sampleRandom.Agent,75000,20,0,0,2000
2,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,108
3,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,57
4,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
5,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
6,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
7,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
8,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
9,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
10,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
11,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,47
12,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
13,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
14,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
15,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
16,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
17,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
18,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
19,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
20,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,77
21,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,47
22,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
23,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
24,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,77
25,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
26,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
27,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
28,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
29,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
30,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
31,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
32,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
33,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
34,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
35,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,75
36,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,119
37,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
38,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,104
39,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,54
40,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
41,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,153
42,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,98
43,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,96
44,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
45,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,131
46,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
47,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
48,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,64
49,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
50,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,48
51,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
52,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
53,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
54,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
55,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
56,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,46
57,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
58,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
59,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
60,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
61,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
62,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
63,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,47
64,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
65,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
66,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
67,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
68,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
69,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
70,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,27
71,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
72,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
73,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,36
74,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,64
75,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
76,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,87
77,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
78,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,64
79,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,77
80,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
81,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
82,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
83,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
84,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
85,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,94
86,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
87,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
88,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
89,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
90,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
91,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
92,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
93,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
94,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
95,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
96,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
97,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,44
98,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,5,100,86
99,7,controllers.singlePlayer.sampleRandom.Agent,75000,23.333333333333332,0,0,2000
