"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_14_9","217","controllers.singlePlayer.sampleOLMCTS.Agent","333564","93.93939393939394","-16","2000"
"GameData_1_0","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","75","566"
"GameData_2_2","132","controllers.singlePlayer.sampleOLMCTS.Agent","287496","50","0","2000"
"GameData_14_3","145","controllers.singlePlayer.sampleOLMCTS.Agent","333564","62.77056277056276","-22","1995"
"GameData_2_3","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.1969696969697","1","2000"
"GameData_14_4","161","controllers.singlePlayer.sampleOLMCTS.Agent","333564","69.6969696969697","-46","2000"
"GameData_2_0","109","controllers.singlePlayer.sampleOLMCTS.Agent","287496","41.28787878787879","0","2000"
"GameData_14_1","97","controllers.singlePlayer.sampleOLMCTS.Agent","333564","41.99134199134199","-25","2000"
"GameData_2_1","129","controllers.singlePlayer.sampleOLMCTS.Agent","287496","48.86363636363637","0","436"
"GameData_14_2","136","controllers.singlePlayer.sampleOLMCTS.Agent","333564","58.87445887445888","-21","2000"
"GameData_2_6","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_7","180","controllers.singlePlayer.sampleOLMCTS.Agent","333564","77.92207792207793","-15","2000"
"GameData_2_7","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_8","180","controllers.singlePlayer.sampleOLMCTS.Agent","333564","77.92207792207793","-12","2000"
"GameData_2_4","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_5","167","controllers.singlePlayer.sampleOLMCTS.Agent","333564","72.2943722943723","-36","2000"
"GameData_2_5","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.1969696969697","6","1037"
"GameData_14_6","174","controllers.singlePlayer.sampleOLMCTS.Agent","333564","75.32467532467533","-19","2000"
"GameData_2_8","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.1969696969697","3","2000"
"GameData_2_9","147","controllers.singlePlayer.sampleOLMCTS.Agent","287496","55.68181818181818","0","2000"
"GameData_14_0","43","controllers.singlePlayer.sampleOLMCTS.Agent","333564","18.614718614718615","-12","2000"
"GameData_0_0","15","controllers.singlePlayer.sampleOLMCTS.Agent","292500","12.82051282051282","0","2000"
"GameData_0_1","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","17.94871794871795","0","2000"
"GameData_9_9","209","controllers.singlePlayer.sampleOLMCTS.Agent","272916","110.58201058201058","37","1000"
"GameData_1_3","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","71","561"
"GameData_13_4","125","controllers.singlePlayer.sampleOLMCTS.Agent","290625","26.881720430107524","0","2000"
"GameData_1_4","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","73","647"
"GameData_13_5","126","controllers.singlePlayer.sampleOLMCTS.Agent","290625","27.09677419354839","0","2000"
"GameData_1_1","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","81","492"
"GameData_13_2","96","controllers.singlePlayer.sampleOLMCTS.Agent","290625","20.64516129032258","-1","852"
"GameData_1_2","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","67","771"
"GameData_13_3","122","controllers.singlePlayer.sampleOLMCTS.Agent","290625","26.236559139784948","0","2000"
"GameData_1_7","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","66","459"
"GameData_9_0","79","controllers.singlePlayer.sampleOLMCTS.Agent","272916","41.7989417989418","1050","1000"
"GameData_13_8","148","controllers.singlePlayer.sampleOLMCTS.Agent","290625","31.827956989247312","0","2000"
"GameData_1_8","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","65","515"
"GameData_13_9","63","controllers.singlePlayer.sampleOLMCTS.Agent","290625","13.548387096774196","0","2000"
"GameData_1_5","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","66","612"
"GameData_13_6","130","controllers.singlePlayer.sampleOLMCTS.Agent","290625","27.956989247311824","0","2000"
"GameData_1_6","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","9.090909090909092","68","617"
"GameData_13_7","147","controllers.singlePlayer.sampleOLMCTS.Agent","290625","31.61290322580645","0","2000"
"GameData_9_4","130","controllers.singlePlayer.sampleOLMCTS.Agent","272916","68.78306878306879","39","1000"
"GameData_9_3","121","controllers.singlePlayer.sampleOLMCTS.Agent","272916","64.02116402116403","1038","1000"
"GameData_1_9","46","controllers.singlePlayer.sampleOLMCTS.Agent","337920","13.939393939393941","66","458"
"GameData_9_2","97","controllers.singlePlayer.sampleOLMCTS.Agent","272916","51.32275132275132","1067","1000"
"GameData_9_1","93","controllers.singlePlayer.sampleOLMCTS.Agent","272916","49.2063492063492","1065","1000"
"GameData_9_8","177","controllers.singlePlayer.sampleOLMCTS.Agent","272916","93.65079365079364","1037","1000"
"GameData_13_0","65","controllers.singlePlayer.sampleOLMCTS.Agent","290625","13.978494623655912","0","2000"
"GameData_9_7","174","controllers.singlePlayer.sampleOLMCTS.Agent","272916","92.06349206349206","44","1000"
"GameData_13_1","88","controllers.singlePlayer.sampleOLMCTS.Agent","290625","18.9247311827957","0","2000"
"GameData_9_6","154","controllers.singlePlayer.sampleOLMCTS.Agent","272916","81.48148148148148","1033","1000"
"GameData_9_5","153","controllers.singlePlayer.sampleOLMCTS.Agent","272916","80.95238095238095","1048","1000"
"GameData_16_9","184","controllers.singlePlayer.sampleOLMCTS.Agent","122500","375.51020408163265","0","2000"
"GameData_16_7","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","51.02040816326531","0","2000"
