"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_14_9","80","controllers.singlePlayer.sampleRandom.Agent","333564","34.63203463203463","-6","28"
"GameData_1_0","30","controllers.singlePlayer.sampleRandom.Agent","337920","9.090909090909092","60","681"
"GameData_2_2","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_14_3","88","controllers.singlePlayer.sampleRandom.Agent","333564","38.095238095238095","-9","97"
"GameData_2_3","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_14_4","88","controllers.singlePlayer.sampleRandom.Agent","333564","38.095238095238095","-5","14"
"GameData_2_0","143","controllers.singlePlayer.sampleRandom.Agent","287496","54.166666666666664","0","2000"
"GameData_14_1","85","controllers.singlePlayer.sampleRandom.Agent","333564","36.79653679653679","-46","1383"
"GameData_2_1","147","controllers.singlePlayer.sampleRandom.Agent","287496","55.68181818181818","0","2000"
"GameData_14_2","86","controllers.singlePlayer.sampleRandom.Agent","333564","37.22943722943723","-13","255"
"GameData_2_6","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_14_7","114","controllers.singlePlayer.sampleRandom.Agent","333564","49.35064935064935","-7","68"
"GameData_2_7","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_14_8","118","controllers.singlePlayer.sampleRandom.Agent","333564","51.082251082251084","-10","289"
"GameData_2_4","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_14_5","91","controllers.singlePlayer.sampleRandom.Agent","333564","39.39393939393939","-11","166"
"GameData_2_5","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_14_6","114","controllers.singlePlayer.sampleRandom.Agent","333564","49.35064935064935","-20","799"
"GameData_2_8","151","controllers.singlePlayer.sampleRandom.Agent","287496","57.1969696969697","0","2000"
"GameData_2_9","143","controllers.singlePlayer.sampleRandom.Agent","287496","54.166666666666664","1","1451"
"GameData_14_0","24","controllers.singlePlayer.sampleRandom.Agent","333564","10.38961038961039","-11","171"
