"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_14_9","120","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","51.94805194805194","-5","2000"
"GameData_1_0","17","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","5.151515151515151","70","485"
"GameData_2_2","3","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.1363636363636365","0","2000"
"GameData_14_3","89","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","38.52813852813853","-10","2000"
"GameData_2_3","4","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.5151515151515151","0","2000"
"GameData_14_4","110","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","47.61904761904761","-9","2000"
"GameData_2_0","3","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.1363636363636365","0","2000"
"GameData_14_1","56","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","24.242424242424242","-7","2000"
"GameData_2_1","3","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.1363636363636365","0","2000"
"GameData_14_2","57","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","24.675324675324674","-3","2000"
"GameData_2_6","4","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.5151515151515151","0","2000"
"GameData_14_7","123","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","53.246753246753244","-1","2000"
"GameData_2_7","4","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.5151515151515151","0","2000"
"GameData_14_8","125","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","54.112554112554115","-9","2000"
"GameData_2_4","4","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.5151515151515151","0","2000"
"GameData_14_5","121","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","52.38095238095239","-12","2000"
"GameData_2_5","4","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.5151515151515151","0","2000"
"GameData_14_6","123","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","53.246753246753244","-7","2000"
"GameData_2_8","4","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","1.5151515151515151","0","2000"
"GameData_2_9","30","controllers.singlePlayer.sampleFlatMCTS.Agent","287496","11.363636363636363","0","2000"
"GameData_14_0","45","controllers.singlePlayer.sampleFlatMCTS.Agent","333564","19.480519480519483","-8","2000"
"GameData_0_0","13","controllers.singlePlayer.sampleFlatMCTS.Agent","292500","11.11111111111111","0","2000"
"GameData_0_1","20","controllers.singlePlayer.sampleFlatMCTS.Agent","292500","17.094017094017094","0","2000"
"GameData_9_9","72","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","38.095238095238095","15","442"
"GameData_1_3","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","68","332"
"GameData_13_4","67","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","14.408602150537634","0","2000"
"GameData_1_4","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","68","426"
"GameData_13_5","67","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","14.408602150537634","0","2000"
"GameData_1_1","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","66","450"
"GameData_13_2","52","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","11.182795698924732","-1","1947"
"GameData_1_2","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","59","308"
"GameData_13_3","67","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","14.408602150537634","-1","834"
"GameData_1_7","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","66","429"
"GameData_9_0","32","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","16.93121693121693","2039","1000"
"GameData_13_8","70","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","15.053763440860216","0","2000"
"GameData_1_8","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","62","414"
"GameData_13_9","41","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","8.817204301075268","-1","1446"
"GameData_1_5","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","66","417"
"GameData_13_6","70","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","15.053763440860216","-1","1779"
"GameData_1_6","27","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","8.181818181818182","68","319"
"GameData_13_7","70","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","15.053763440860216","0","2000"
"GameData_9_4","126","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","66.66666666666666","71","1000"
"GameData_9_3","96","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","50.79365079365079","1037","1000"
"GameData_1_9","49","controllers.singlePlayer.sampleFlatMCTS.Agent","337920","14.84848484848485","79","547"
"GameData_9_2","81","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","42.857142857142854","2074","1000"
"GameData_9_1","54","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","28.57142857142857","14","427"
"GameData_9_8","170","controllers.singlePlayer.sampleFlatMCTS.Agent","272916","89.94708994708994","71","762"
"GameData_13_0","48","controllers.singlePlayer.sampleFlatMCTS.Agent","290625","10.32258064516129","-1","1574"
