"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_14_9","212","controllers.singlePlayer.sampleMCTS.Agent","333564","91.77489177489177","-29","2000"
"GameData_1_0","29","controllers.singlePlayer.sampleMCTS.Agent","337920","8.787878787878787","74","500"
"GameData_2_2","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","6","2000"
"GameData_14_3","160","controllers.singlePlayer.sampleMCTS.Agent","333564","69.26406926406926","-56","2000"
"GameData_2_3","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_4","194","controllers.singlePlayer.sampleMCTS.Agent","333564","83.98268398268398","-31","2000"
"GameData_2_0","105","controllers.singlePlayer.sampleMCTS.Agent","287496","39.77272727272727","1","2000"
"GameData_14_1","131","controllers.singlePlayer.sampleMCTS.Agent","333564","56.709956709956714","-43","2000"
"GameData_2_1","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","0","838"
"GameData_14_2","150","controllers.singlePlayer.sampleMCTS.Agent","333564","64.93506493506493","-34","2000"
"GameData_2_6","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","1","2000"
"GameData_14_7","210","controllers.singlePlayer.sampleMCTS.Agent","333564","90.9090909090909","-29","2000"
"GameData_2_7","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_8","213","controllers.singlePlayer.sampleMCTS.Agent","333564","92.20779220779221","-29","2000"
"GameData_2_4","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_5","197","controllers.singlePlayer.sampleMCTS.Agent","333564","85.28138528138528","-24","2000"
"GameData_2_5","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_14_6","203","controllers.singlePlayer.sampleMCTS.Agent","333564","87.87878787878788","-32","2000"
"GameData_2_8","151","controllers.singlePlayer.sampleMCTS.Agent","287496","57.1969696969697","0","2000"
"GameData_2_9","132","controllers.singlePlayer.sampleMCTS.Agent","287496","50","0","2000"
"GameData_14_0","91","controllers.singlePlayer.sampleMCTS.Agent","333564","39.39393939393939","-40","2000"
"GameData_0_0","15","controllers.singlePlayer.sampleMCTS.Agent","292500","12.82051282051282","0","2000"
"GameData_0_1","24","controllers.singlePlayer.sampleMCTS.Agent","292500","20.51282051282051","1","2000"
"GameData_9_9","221","controllers.singlePlayer.sampleMCTS.Agent","272916","116.93121693121694","1","153"
"GameData_1_3","29","controllers.singlePlayer.sampleMCTS.Agent","337920","8.787878787878787","60","407"
"GameData_13_4","86","controllers.singlePlayer.sampleMCTS.Agent","290625","18.494623655913976","0","2000"
"GameData_1_4","29","controllers.singlePlayer.sampleMCTS.Agent","337920","8.787878787878787","67","453"
"GameData_13_5","86","controllers.singlePlayer.sampleMCTS.Agent","290625","18.494623655913976","0","2000"
"GameData_1_1","29","controllers.singlePlayer.sampleMCTS.Agent","337920","8.787878787878787","75","505"
"GameData_13_2","65","controllers.singlePlayer.sampleMCTS.Agent","290625","13.978494623655912","-1","1226"
"GameData_1_2","29","controllers.singlePlayer.sampleMCTS.Agent","337920","8.787878787878787","68","476"
"GameData_13_3","86","controllers.singlePlayer.sampleMCTS.Agent","290625","18.494623655913976","-1","810"
