"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_28","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","9","100","1656"
"GameData_0_29","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","9","100","1535"
"GameData_0_22","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","9","100","1660"
"GameData_0_23","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","10","100","1685"
"GameData_0_20","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","10","100","1689"
"GameData_0_21","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","9","100","1655"
"GameData_0_26","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","10","100","1685"
"GameData_0_27","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","10","100","1685"
"GameData_0_24","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","10","100","1689"
"GameData_0_25","63","controllers.singlePlayer.bestFirstSearch.Agent","325000","48.46153846153846","10","100","1689"
"GameData_0_4","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","10"
"GameData_0_19","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1646"
"GameData_0_5","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","10"
"GameData_0_2","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","11"
"GameData_0_17","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1646"
"GameData_0_3","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","10"
"GameData_0_18","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1641"
"GameData_0_8","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","11"
"GameData_0_9","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","10"
"GameData_0_6","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","12"
"GameData_0_7","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","11"
"GameData_0_11","29","controllers.singlePlayer.bestFirstSearch.Agent","292500","24.786324786324787","7","100","131"
"GameData_0_12","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1647"
"GameData_0_10","28","controllers.singlePlayer.bestFirstSearch.Agent","292500","23.931623931623932","7","100","136"
"GameData_0_15","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1650"
"GameData_0_16","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1646"
"GameData_0_13","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1645"
"GameData_0_14","30","controllers.singlePlayer.bestFirstSearch.Agent","292500","25.64102564102564","7","100","1652"
"GameData_0_40","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","5","0","1629"
"GameData_0_41","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","7","0","1652"
"GameData_0_0","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","12"
"GameData_0_1","6","controllers.singlePlayer.bestFirstSearch.Agent","75000","20","5","100","11"
"GameData_0_44","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","5","0","2000"
"GameData_0_45","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","12","100","1657"
"GameData_0_42","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","6","0","2000"
"GameData_0_43","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","12","100","1659"
"GameData_0_48","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","12","100","1659"
"GameData_0_49","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","0","0","2000"
"GameData_0_46","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","6","0","1656"
"GameData_0_47","91","controllers.singlePlayer.bestFirstSearch.Agent","157500","144.44444444444443","12","100","1654"
"GameData_0_30","78","controllers.singlePlayer.bestFirstSearch.Agent","357500","54.54545454545454","22","0","1716"
"GameData_0_39","91","controllers.singlePlayer.bestFirstSearch.Agent","357500","63.63636363636363","27","0","1329"
"GameData_0_33","88","controllers.singlePlayer.bestFirstSearch.Agent","357500","61.53846153846154","21","0","1724"
"GameData_0_34","89","controllers.singlePlayer.bestFirstSearch.Agent","357500","62.23776223776224","32","100","1766"
"GameData_0_31","79","controllers.singlePlayer.bestFirstSearch.Agent","357500","55.24475524475524","20","0","2000"
"GameData_0_32","87","controllers.singlePlayer.bestFirstSearch.Agent","357500","60.83916083916085","33","100","1237"
"GameData_0_37","90","controllers.singlePlayer.bestFirstSearch.Agent","357500","62.93706293706294","28","100","1204"
"GameData_0_38","91","controllers.singlePlayer.bestFirstSearch.Agent","357500","63.63636363636363","30","100","1242"
"GameData_0_35","90","controllers.singlePlayer.bestFirstSearch.Agent","357500","62.93706293706294","27","0","1762"
"GameData_0_36","90","controllers.singlePlayer.bestFirstSearch.Agent","357500","62.93706293706294","28","0","1437"
