"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_28","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1335"
"GameData_0_29","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","923"
"GameData_0_22","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1447"
"GameData_0_23","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1115"
"GameData_0_20","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1575"
"GameData_0_21","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","671"
"GameData_0_26","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1471"
"GameData_0_27","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1079"
"GameData_0_24","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","967"
"GameData_0_25","3","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.6493506493506493","0","0","1115"
"GameData_0_4","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_19","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","347"
"GameData_0_5","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_2","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_17","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","299"
"GameData_0_3","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_18","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","275"
"GameData_0_8","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","327"
"GameData_0_9","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_6","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_7","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","1203"
"GameData_0_11","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","75"
"GameData_0_12","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","413"
"GameData_0_10","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","365"
"GameData_0_15","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","347"
"GameData_0_16","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","299"
"GameData_0_13","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","317"
"GameData_0_14","2","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.4329004329004329","0","0","1167"
"GameData_0_40","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","215"
"GameData_0_41","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_0","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","2000"
"GameData_0_1","1","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.21645021645021645","0","0","1743"
"GameData_0_44","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_45","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_42","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_43","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","203"
"GameData_0_48","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_49","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_46","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_47","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","197"
"GameData_0_30","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","923"
"GameData_0_39","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","1923"
"GameData_0_33","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","987"
"GameData_0_34","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","975"
"GameData_0_31","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","2000"
"GameData_0_32","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","619"
"GameData_0_37","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","495"
"GameData_0_38","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","935"
"GameData_0_35","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","407"
"GameData_0_36","4","controllers.singlePlayer.breadthFirstSearch.Agent","288750","0.8658008658008658","0","0","83"
