"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__Win","|__EndGameTick"
"GameData_0_28","159","controllers.singlePlayer.sampleRandom.Agent","364500","39.25925925925926","2","0","273"
"GameData_0_29","159","controllers.singlePlayer.sampleRandom.Agent","364500","39.25925925925926","-1","0","71"
"GameData_0_22","124","controllers.singlePlayer.sampleRandom.Agent","364500","30.617283950617285","1","0","85"
"GameData_0_23","125","controllers.singlePlayer.sampleRandom.Agent","364500","30.864197530864196","0","0","200"
"GameData_0_20","106","controllers.singlePlayer.sampleRandom.Agent","364500","26.172839506172842","-1","0","587"
"GameData_0_21","119","controllers.singlePlayer.sampleRandom.Agent","364500","29.38271604938272","1","0","331"
"GameData_0_26","146","controllers.singlePlayer.sampleRandom.Agent","364500","36.04938271604938","1","0","484"
"GameData_0_27","146","controllers.singlePlayer.sampleRandom.Agent","364500","36.04938271604938","1","0","215"
"GameData_0_24","132","controllers.singlePlayer.sampleRandom.Agent","364500","32.592592592592595","1","0","277"
"GameData_0_25","134","controllers.singlePlayer.sampleRandom.Agent","364500","33.086419753086425","5","0","462"
"GameData_0_4","53","controllers.singlePlayer.sampleRandom.Agent","364500","13.086419753086421","-1","0","31"
"GameData_0_19","97","controllers.singlePlayer.sampleRandom.Agent","364500","23.950617283950617","0","0","239"
"GameData_0_5","53","controllers.singlePlayer.sampleRandom.Agent","364500","13.086419753086421","0","0","511"
"GameData_0_2","36","controllers.singlePlayer.sampleRandom.Agent","364500","8.88888888888889","2","0","153"
"GameData_0_17","93","controllers.singlePlayer.sampleRandom.Agent","364500","22.962962962962962","0","0","222"
"GameData_0_3","52","controllers.singlePlayer.sampleRandom.Agent","364500","12.839506172839506","1","0","945"
"GameData_0_18","96","controllers.singlePlayer.sampleRandom.Agent","364500","23.703703703703706","0","0","583"
"GameData_0_8","64","controllers.singlePlayer.sampleRandom.Agent","364500","15.802469135802468","15","0","1034"
"GameData_0_9","64","controllers.singlePlayer.sampleRandom.Agent","364500","15.802469135802468","-1","0","179"
"GameData_0_6","53","controllers.singlePlayer.sampleRandom.Agent","364500","13.086419753086421","-1","0","395"
"GameData_0_7","56","controllers.singlePlayer.sampleRandom.Agent","364500","13.82716049382716","1","0","218"
"GameData_0_11","67","controllers.singlePlayer.sampleRandom.Agent","364500","16.543209876543212","0","0","570"
"GameData_0_12","86","controllers.singlePlayer.sampleRandom.Agent","364500","21.23456790123457","3","0","585"
"GameData_0_10","67","controllers.singlePlayer.sampleRandom.Agent","364500","16.543209876543212","0","0","577"
"GameData_0_15","92","controllers.singlePlayer.sampleRandom.Agent","364500","22.71604938271605","-1","0","487"
"GameData_0_16","92","controllers.singlePlayer.sampleRandom.Agent","364500","22.71604938271605","0","0","559"
"GameData_0_13","86","controllers.singlePlayer.sampleRandom.Agent","364500","21.23456790123457","0","0","35"
"GameData_0_14","92","controllers.singlePlayer.sampleRandom.Agent","364500","22.71604938271605","-1","0","408"
"GameData_0_40","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","289"
"GameData_0_41","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","119"
"GameData_0_0","11","controllers.singlePlayer.sampleRandom.Agent","364500","2.7160493827160495","0","0","203"
"GameData_0_1","32","controllers.singlePlayer.sampleRandom.Agent","364500","7.901234567901234","3","0","321"
"GameData_0_44","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","160"
"GameData_0_45","183","controllers.singlePlayer.sampleRandom.Agent","364500","45.18518518518518","2","0","364"
"GameData_0_42","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","287"
"GameData_0_43","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","419"
"GameData_0_48","183","controllers.singlePlayer.sampleRandom.Agent","364500","45.18518518518518","-1","0","163"
"GameData_0_49","183","controllers.singlePlayer.sampleRandom.Agent","364500","45.18518518518518","-1","0","247"
"GameData_0_46","183","controllers.singlePlayer.sampleRandom.Agent","364500","45.18518518518518","-1","0","131"
"GameData_0_47","183","controllers.singlePlayer.sampleRandom.Agent","364500","45.18518518518518","1","0","519"
"GameData_0_30","159","controllers.singlePlayer.sampleRandom.Agent","364500","39.25925925925926","-1","0","87"
"GameData_0_39","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","140"
"GameData_0_33","166","controllers.singlePlayer.sampleRandom.Agent","364500","40.98765432098765","-1","0","135"
"GameData_0_34","166","controllers.singlePlayer.sampleRandom.Agent","364500","40.98765432098765","-1","0","103"
"GameData_0_31","166","controllers.singlePlayer.sampleRandom.Agent","364500","40.98765432098765","2","0","943"
"GameData_0_32","166","controllers.singlePlayer.sampleRandom.Agent","364500","40.98765432098765","-1","0","123"
"GameData_0_37","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","391"
"GameData_0_38","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","-1","0","109"
"GameData_0_35","166","controllers.singlePlayer.sampleRandom.Agent","364500","40.98765432098765","2","0","811"
"GameData_0_36","179","controllers.singlePlayer.sampleRandom.Agent","364500","44.19753086419753","5","0","703"
