game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.bestFirstSearch.Agent,232500,0.2688172043010753,0,0,111
1,1,controllers.singlePlayer.bestFirstSearch.Agent,232500,0.2688172043010753,0,0,16
2,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-16,0,812
3,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,0,0,342
4,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-7,0,557
5,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-8,0,642
6,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,0,0,142
7,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-1,0,297
8,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,0,0,212
9,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-6,0,517
10,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-4,0,372
11,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-1,0,262
12,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-2,0,377
13,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-5,0,612
14,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-1,0,452
15,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-8,0,682
16,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-6,0,732
17,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,0,0,337
18,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,0,0,102
19,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,-2,0,297
20,51,controllers.singlePlayer.bestFirstSearch.Agent,232500,13.709677419354838,0,0,212
