game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,18,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,6.8181818181818175,0,0,274
1,18,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,6.8181818181818175,0,0,27
2,18,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,6.8181818181818175,0,0,14
3,18,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,6.8181818181818175,0,0,17
4,22,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,8.333333333333332,0,0,61
5,123,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,46.590909090909086,4,0,874
6,130,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,49.24242424242424,6,100,583
7,132,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,50,2,0,305
8,132,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,50,0,0,1003
9,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,4,0,362
10,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,3,0,381
11,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,3,0,358
12,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,4,0,483
13,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,0,0,274
14,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,3,0,281
15,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,1,0,410
16,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,0,0,472
17,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,0,0,681
18,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,4,0,1099
19,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,2,0,420
20,135,controllers.singlePlayer.breadthFirstSearch2.Agent,287496,51.13636363636363,0,0,90
