game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,8,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,3.0303030303030303,1,0,648
1,20,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,7.575757575757576,2,0,2000
2,21,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,7.954545454545454,1,0,123
3,22,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,8.333333333333332,0,0,337
4,27,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.227272727272728,0,0,2000
5,28,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.606060606060606,1,0,2000
6,28,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.606060606060606,1,0,2000
7,28,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.606060606060606,0,0,2000
8,28,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.606060606060606,0,0,2000
9,29,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.984848484848484,1,0,2000
10,29,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.984848484848484,1,0,2000
11,29,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.984848484848484,0,0,2000
12,29,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.984848484848484,0,0,2000
13,29,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.984848484848484,1,0,716
14,29,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,10.984848484848484,1,0,2000
15,32,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.121212121212121,0,0,2000
16,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
17,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
18,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
19,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,20
20,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
21,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
22,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
23,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
24,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
25,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
26,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
27,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,562
28,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
29,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,741
30,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,1657
31,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
32,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
33,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
34,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
35,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,1053
36,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
37,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,2,0,2000
38,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
39,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,2,0,2000
40,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,2000
41,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
42,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,0,0,181
43,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
44,33,controllers.singlePlayer.sampleFlatMCTS.Agent,287496,12.5,1,0,2000
