game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,96,controllers.singlePlayer.sampleMCTS.Agent,287496,36.36363636363637,0,0,2000
1,116,controllers.singlePlayer.sampleMCTS.Agent,287496,43.93939393939394,0,0,647
2,131,controllers.singlePlayer.sampleMCTS.Agent,287496,49.621212121212125,0,0,210
3,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,2,0,1981
4,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,2,0,2000
5,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,2000
6,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,1175
7,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,0,0,3
8,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,305
9,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,1030
10,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,330
11,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,347
12,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,0,0,787
13,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,2,0,304
14,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,0,0,126
15,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,2000
16,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,3,0,2000
17,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,2,0,2000
18,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,2,0,1133
19,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,2,0,2000
20,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,0,0,1867
21,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,390
22,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,303
23,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,0,0,822
24,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,0,0,2000
25,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,1691
26,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,1977
27,135,controllers.singlePlayer.sampleMCTS.Agent,287496,51.13636363636363,1,0,2000
