game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
1,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,13
2,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
3,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
4,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
5,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
6,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
7,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
8,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
9,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
10,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
11,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
12,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,10
13,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
14,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
15,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
16,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
17,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
18,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
19,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
20,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,10
21,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
22,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,12
23,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
24,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
25,6,controllers.singlePlayer.bestFirstSearch.Agent,75000,20,5,100,11
