game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,60
1,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,135
2,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,210
3,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,285
4,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,360
5,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,435
6,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,510
7,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,585
8,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,660
9,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,735
10,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,810
11,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,885
12,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,960
13,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1035
14,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1110
15,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1185
16,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1260
17,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,83
18,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1335
19,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1410
20,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1485
21,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1560
22,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1635
23,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1710
24,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1785
25,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1860
26,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1935
27,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
28,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
29,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
30,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
31,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
32,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
33,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
34,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1052
35,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,4
36,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
37,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1702
38,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1948
39,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
40,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
41,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
42,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
43,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
44,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
45,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
46,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
47,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1629
48,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
49,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
50,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,485
51,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
52,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
53,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1009
54,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
55,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1736
56,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
57,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
58,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1759
59,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
60,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
61,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
62,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
63,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
64,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
65,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
66,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
67,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
68,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
69,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
70,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
71,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
72,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
73,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
74,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1433
75,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
76,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,278
77,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
78,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
79,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,1163
80,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,604
81,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
82,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,946
83,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
84,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
85,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
86,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
87,13,controllers.singlePlayer.breadthFirstSearch.Agent,440000,7.386363636363637,0,0,2000
