game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,7,0,136
1,13,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,3.939393939393939,13,0,78
2,22,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,6.666666666666667,20,0,139
3,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,73,100,773
4,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,13,0,81
5,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,1,0,9
6,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,21,0,127
7,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,75,100,725
8,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,10,0,58
9,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,30,0,238
10,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,39,0,283
11,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,75,100,835
12,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,75,100,820
13,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,72,100,863
14,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,58,0,719
15,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,31,0,241
16,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,72,100,792
17,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,7,0,50
18,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,68,0,771
19,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,75,100,905
20,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,63,100,564
21,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,48,0,341
22,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,73,0,747
23,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,58,0,398
24,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,73,100,840
25,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,-1,0,743
26,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,74,100,789
27,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,5,0,27
28,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,6,0,35
29,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,66,0,902
30,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,15,0,116
31,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,68,0,764
32,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,33,0,271
33,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,77,100,752
34,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,42,0,303
35,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,81,100,818
36,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,42,0,329
37,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,22,0,129
38,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,7,0,40
39,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,34,0,263
40,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,75,100,665
41,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,72,100,718
42,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,15,0,100
43,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,10,0,58
44,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,66,0,704
45,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,40,0,314
46,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,68,100,715
47,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,19,0,134
48,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,67,0,623
49,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,17,0,106
50,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,74,100,592
51,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,14,0,85
52,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,72,100,736
53,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,15,0,103
54,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,78,100,799
55,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,25,0,213
56,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,17,0,86
57,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,6,0,25
58,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,76,100,692
59,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,23,0,111
