game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,20,controllers.singlePlayer.sampleMCTS.Agent,337920,6.0606060606060606,62,100,553
1,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,61,100,531
2,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,60,100,497
3,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,60,100,580
4,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,74,100,557
5,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,61,100,540
6,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,61,100,667
7,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,13,0,82
8,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,65,100,491
9,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,63,100,496
10,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,11,0,81
11,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,67,100,577
12,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,77,100,725
13,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,62,100,529
14,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,66,100,534
15,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,77,100,567
16,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,73,100,817
17,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,76,100,576
18,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,61,100,376
19,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,67,100,586
20,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,50,0,349
21,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,67,100,661
22,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,61,100,479
23,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,9,0,57
24,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,29,0,221
25,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,12,0,85
26,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,71,100,746
27,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,65,100,499
28,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,63,100,514
29,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,62,100,409
30,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,67,100,483
31,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,70,100,679
32,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,67,100,492
33,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,69,100,519
34,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,62,100,533
35,30,controllers.singlePlayer.sampleMCTS.Agent,337920,9.090909090909092,75,100,653
