"|","|__TotalCellsVisisted","|__Score","|__
TimeOut","|__TimeOut","|__GameSpaceSearched","|__GameScore","|__GameID","|__EndGameTick"
"GameData_0_0","13","0","","1","11.403508771929824","0","0","2000"
"GameData_0_1","5","0","","1","4.385964912280701","0","0","2000"
"GameData_0_4","1","1","","0","0.8771929824561403","1","0","1990"
"GameData_0_5","0","0","","1","0","0","0","2000"
"GameData_0_2","0","0","","1","0","0","0","2000"
"GameData_0_17","0","0","","1","0","0","0","2000"
"GameData_0_3","0","0","","1","0","0","0","2000"
"GameData_0_18","0","0","","1","0","0","0","2000"
"GameData_0_8","0","0","","1","0","0","0","2000"
"GameData_0_9","0","0","","1","0","0","0","2000"
"GameData_0_6","6","0","","0","5.263157894736842","0","0","1999"
"GameData_0_7","0","0","","1","0","0","0","2000"
"GameData_0_11","0","0","","1","0","0","0","2000"
"GameData_0_12","0","0","","1","0","0","0","2000"
"GameData_0_10","0","0","","1","0","0","0","2000"
"GameData_0_15","0","0","","0","0","0","0","1976"
"GameData_0_16","0","0","","1","0","0","0","2000"
"GameData_0_13","1","0","","1","0.8771929824561403","0","0","2000"
"GameData_0_14","0","0","1","","0","0","0","2000"
