game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,21
1,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,1
2,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,27
3,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,10
4,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,0
5,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,0
6,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,40
7,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,50
8,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,19
9,1,controllers.singlePlayer.bestFirstSearch.Agent,456192,1.1363636363636365,0,0,8
10,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
11,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
12,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
13,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
14,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
15,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
16,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
17,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
18,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
19,2,controllers.singlePlayer.bestFirstSearch.Agent,456192,2.272727272727273,0,0,1500
20,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
21,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
22,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
23,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
24,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
25,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
26,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
27,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
28,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
29,3,controllers.singlePlayer.bestFirstSearch.Agent,456192,3.4090909090909087,0,0,1500
30,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
31,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
32,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
33,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
34,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
35,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
36,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
37,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
38,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
39,4,controllers.singlePlayer.bestFirstSearch.Agent,456192,4.545454545454546,0,0,1500
40,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
41,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
42,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
43,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
44,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
45,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
46,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
47,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
48,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
49,5,controllers.singlePlayer.bestFirstSearch.Agent,456192,5.681818181818182,0,0,1500
