game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,0.30303030303030304,0,0,2
1,1,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,0.30303030303030304,0,0,8
2,1,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,0.30303030303030304,0,0,12
3,1,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,0.30303030303030304,-1,0,743
4,5,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,1.5151515151515151,6,0,58
5,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,5,0,20
6,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,2,0,16
7,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,0,0,6
8,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,5,0,28
9,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,1,0,11
10,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,0,0,6
11,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,8,0,49
12,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,13,0,89
13,8,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,2.4242424242424243,1,0,8
14,12,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,3.6363636363636362,5,0,26
15,12,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,3.6363636363636362,5,0,21
16,18,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,5.454545454545454,16,0,73
17,29,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,8.787878787878787,67,0,752
18,29,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,8.787878787878787,6,0,34
19,29,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,8.787878787878787,13,0,69
20,29,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,8.787878787878787,2,0,12
21,29,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,8.787878787878787,1,0,8
22,29,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,8.787878787878787,0,0,7
23,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,67,100,848
24,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,13,0,87
25,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,4,0,16
26,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,17,0,86
27,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,5,0,22
28,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,23,0,154
29,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,14,0,61
30,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,0,0,20
31,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,0,0,56
32,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,38,0,689
33,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,-1,0,791
34,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,0,0,83
35,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,-1,0,321
36,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,-1,0,363
37,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,-1,0,744
38,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,0,0,35
39,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,0,0,63
40,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,5,0,38
41,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,2,0,21
42,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,3,0,20
43,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,0,0,5
44,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,3,0,32
45,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,1,0,15
46,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,58,0,474
47,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,59,100,656
48,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,17,0,127
49,30,controllers.singlePlayer.breadthFirstSearch2.Agent,337920,9.090909090909092,7,0,52
