game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,16,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,4.5584045584045585,0,100,1000
1,17,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,4.843304843304843,0,100,1000
2,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
3,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
4,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
5,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
6,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
7,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
8,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
9,21,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,5.982905982905983,0,100,1000
10,28,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,7.977207977207977,0,100,1000
11,31,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,8.831908831908832,0,100,1000
12,33,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,9.401709401709402,0,100,1000
13,33,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,9.401709401709402,0,100,1000
14,33,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,9.401709401709402,0,100,1000
15,36,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,10.256410256410255,0,100,1000
16,36,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,10.256410256410255,0,100,1000
17,36,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,10.256410256410255,0,100,1000
18,36,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,10.256410256410255,0,100,1000
19,36,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,10.256410256410255,0,100,1000
20,47,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,13.390313390313391,0,100,1000
21,52,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,14.814814814814813,0,100,1000
22,54,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,15.384615384615385,0,100,1000
23,57,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.23931623931624,0,100,1000
24,58,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.524216524216524,0,100,1000
25,59,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.80911680911681,0,100,1000
26,59,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.80911680911681,0,100,1000
27,59,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.80911680911681,0,100,1000
28,59,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.80911680911681,0,100,1000
29,59,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,16.80911680911681,0,100,1000
30,73,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,20.7977207977208,0,100,1000
31,73,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,20.7977207977208,0,100,1000
32,78,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,22.22222222222222,0,100,1000
33,78,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,22.22222222222222,0,100,1000
34,78,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,22.22222222222222,0,100,1000
35,80,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,22.79202279202279,0,100,1000
36,80,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,22.79202279202279,0,100,1000
37,81,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.076923076923077,0,100,1000
38,81,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.076923076923077,0,100,1000
39,82,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.36182336182336,-5,100,1000
40,82,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.36182336182336,0,100,1000
41,82,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.36182336182336,0,100,1000
42,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
43,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
44,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
45,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
46,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
47,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
48,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
49,84,controllers.singlePlayer.sampleFlatMCTS.Agent,295191,23.931623931623932,0,100,1000
