game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,81,controllers.singlePlayer.sampleMCTS.Agent,232500,21.774193548387096,-11,0,965
1,173,controllers.singlePlayer.sampleMCTS.Agent,232500,46.50537634408602,-15,0,1135
2,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-8,0,1109
3,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-7,0,1092
4,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-7,0,1500
5,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-9,0,1020
6,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-3,0,2000
7,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-6,0,1204
8,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-8,0,1213
9,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-7,0,908
10,184,controllers.singlePlayer.sampleMCTS.Agent,232500,49.46236559139785,-15,0,880
11,185,controllers.singlePlayer.sampleMCTS.Agent,232500,49.73118279569893,-11,0,1317
12,185,controllers.singlePlayer.sampleMCTS.Agent,232500,49.73118279569893,-12,0,1073
13,185,controllers.singlePlayer.sampleMCTS.Agent,232500,49.73118279569893,-8,0,1490
14,185,controllers.singlePlayer.sampleMCTS.Agent,232500,49.73118279569893,-15,0,935
15,185,controllers.singlePlayer.sampleMCTS.Agent,232500,49.73118279569893,-6,0,1330
16,185,controllers.singlePlayer.sampleMCTS.Agent,232500,49.73118279569893,-10,0,1204
17,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-12,0,1066
18,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-15,0,1140
19,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-13,0,1002
20,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-2,0,1760
21,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-4,0,2000
22,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-4,0,1632
23,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-14,0,957
24,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-9,0,1134
25,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-2,0,2000
26,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-7,0,1233
27,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-8,0,1318
28,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-11,0,1216
29,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-15,0,1009
30,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-14,0,1061
31,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-3,0,2000
32,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-7,0,1063
33,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-10,0,1073
34,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-5,0,1249
35,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-10,0,1154
36,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-8,0,1352
37,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-6,0,1547
38,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-2,0,1747
39,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-8,0,1459
40,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-5,0,1558
41,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-13,0,1041
42,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-4,0,1560
43,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-1,0,1891
44,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-1,0,2000
45,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-7,0,1432
46,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-7,0,1439
47,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-16,0,1018
48,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-3,0,1161
49,186,controllers.singlePlayer.sampleMCTS.Agent,232500,50,-11,0,1107
