game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,98,controllers.singlePlayer.sampleOLMCTS.Agent,368676,46.889952153110045,7,100,1000
1,105,controllers.singlePlayer.sampleOLMCTS.Agent,368676,50.23923444976076,7,100,1000
2,105,controllers.singlePlayer.sampleOLMCTS.Agent,368676,50.23923444976076,8,100,1000
3,106,controllers.singlePlayer.sampleOLMCTS.Agent,368676,50.717703349282296,8,100,1000
4,108,controllers.singlePlayer.sampleOLMCTS.Agent,368676,51.674641148325364,8,100,1000
5,108,controllers.singlePlayer.sampleOLMCTS.Agent,368676,51.674641148325364,0,100,1000
6,108,controllers.singlePlayer.sampleOLMCTS.Agent,368676,51.674641148325364,8,100,1000
7,108,controllers.singlePlayer.sampleOLMCTS.Agent,368676,51.674641148325364,3,100,1000
8,108,controllers.singlePlayer.sampleOLMCTS.Agent,368676,51.674641148325364,8,100,1000
9,108,controllers.singlePlayer.sampleOLMCTS.Agent,368676,51.674641148325364,2,100,1000
10,118,controllers.singlePlayer.sampleOLMCTS.Agent,368676,56.45933014354066,-1,0,905
11,118,controllers.singlePlayer.sampleOLMCTS.Agent,368676,56.45933014354066,-2,0,599
12,131,controllers.singlePlayer.sampleOLMCTS.Agent,368676,62.67942583732058,8,100,1000
13,134,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.11483253588517,-3,0,359
14,135,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.5933014354067,-1,0,222
15,135,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.5933014354067,4,100,1000
16,135,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.5933014354067,-2,0,723
17,135,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.5933014354067,6,100,1000
18,135,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.5933014354067,-2,0,821
19,135,controllers.singlePlayer.sampleOLMCTS.Agent,368676,64.5933014354067,0,100,1000
20,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,-1,0,682
21,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,4,100,1000
22,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,0,100,1000
23,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,7,100,1000
24,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,2,100,1000
25,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,4,100,1000
26,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,8,100,1000
27,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,5,100,1000
28,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,5,100,1000
29,142,controllers.singlePlayer.sampleOLMCTS.Agent,368676,67.94258373205741,1,100,1000
30,147,controllers.singlePlayer.sampleOLMCTS.Agent,368676,70.33492822966507,-1,0,95
31,147,controllers.singlePlayer.sampleOLMCTS.Agent,368676,70.33492822966507,-1,0,122
32,148,controllers.singlePlayer.sampleOLMCTS.Agent,368676,70.81339712918661,-1,0,127
33,148,controllers.singlePlayer.sampleOLMCTS.Agent,368676,70.81339712918661,-1,0,139
34,148,controllers.singlePlayer.sampleOLMCTS.Agent,368676,70.81339712918661,-1,0,77
35,148,controllers.singlePlayer.sampleOLMCTS.Agent,368676,70.81339712918661,-1,0,97
36,149,controllers.singlePlayer.sampleOLMCTS.Agent,368676,71.29186602870813,-1,0,301
37,149,controllers.singlePlayer.sampleOLMCTS.Agent,368676,71.29186602870813,-1,0,152
38,149,controllers.singlePlayer.sampleOLMCTS.Agent,368676,71.29186602870813,-1,0,91
39,149,controllers.singlePlayer.sampleOLMCTS.Agent,368676,71.29186602870813,-1,0,142
40,149,controllers.singlePlayer.sampleOLMCTS.Agent,368676,71.29186602870813,-1,0,278
41,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,226
42,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,186
43,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,180
44,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,163
45,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,168
46,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-2,0,174
47,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,192
48,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-1,0,265
49,151,controllers.singlePlayer.sampleOLMCTS.Agent,368676,72.24880382775119,-3,0,185
