game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,50,controllers.singlePlayer.sampleRandom.Agent,241472,16.233766233766232,7,100,1295
1,84,controllers.singlePlayer.sampleRandom.Agent,241472,27.27272727272727,6,100,1190
2,88,controllers.singlePlayer.sampleRandom.Agent,241472,28.57142857142857,2,100,379
3,93,controllers.singlePlayer.sampleRandom.Agent,241472,30.1948051948052,-4,100,1474
4,118,controllers.singlePlayer.sampleRandom.Agent,241472,38.311688311688314,8,100,1025
5,125,controllers.singlePlayer.sampleRandom.Agent,241472,40.58441558441558,2,100,1582
6,125,controllers.singlePlayer.sampleRandom.Agent,241472,40.58441558441558,5,100,1078
7,143,controllers.singlePlayer.sampleRandom.Agent,241472,46.42857142857143,21,100,1081
8,145,controllers.singlePlayer.sampleRandom.Agent,241472,47.07792207792208,4,100,1061
9,146,controllers.singlePlayer.sampleRandom.Agent,241472,47.4025974025974,9,100,1548
10,156,controllers.singlePlayer.sampleRandom.Agent,241472,50.649350649350644,6,100,743
11,169,controllers.singlePlayer.sampleRandom.Agent,241472,54.87012987012987,3,100,713
12,176,controllers.singlePlayer.sampleRandom.Agent,241472,57.14285714285714,10,100,1410
13,180,controllers.singlePlayer.sampleRandom.Agent,241472,58.44155844155844,4,100,707
14,180,controllers.singlePlayer.sampleRandom.Agent,241472,58.44155844155844,1,100,653
15,180,controllers.singlePlayer.sampleRandom.Agent,241472,58.44155844155844,-10,100,752
16,186,controllers.singlePlayer.sampleRandom.Agent,241472,60.3896103896104,-3,100,813
17,186,controllers.singlePlayer.sampleRandom.Agent,241472,60.3896103896104,0,100,589
18,188,controllers.singlePlayer.sampleRandom.Agent,241472,61.038961038961034,2,100,945
19,188,controllers.singlePlayer.sampleRandom.Agent,241472,61.038961038961034,12,100,698
20,196,controllers.singlePlayer.sampleRandom.Agent,241472,63.63636363636363,14,100,1099
21,205,controllers.singlePlayer.sampleRandom.Agent,241472,66.55844155844156,18,0,2000
22,206,controllers.singlePlayer.sampleRandom.Agent,241472,66.88311688311688,14,100,1224
23,206,controllers.singlePlayer.sampleRandom.Agent,241472,66.88311688311688,16,100,1095
24,206,controllers.singlePlayer.sampleRandom.Agent,241472,66.88311688311688,10,100,920
25,206,controllers.singlePlayer.sampleRandom.Agent,241472,66.88311688311688,16,100,1050
26,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,11,100,1469
27,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,16,100,1853
28,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,16,0,2000
29,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,4,100,732
30,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,2,100,152
31,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,0,100,214
32,218,controllers.singlePlayer.sampleRandom.Agent,241472,70.77922077922078,2,100,387
33,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,5,100,656
34,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,4,100,219
35,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,0,100,517
36,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,0,100,22
37,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,6,100,138
38,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,8,100,328
39,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,10,100,694
40,219,controllers.singlePlayer.sampleRandom.Agent,241472,71.1038961038961,14,100,792
41,220,controllers.singlePlayer.sampleRandom.Agent,241472,71.42857142857143,9,100,606
42,220,controllers.singlePlayer.sampleRandom.Agent,241472,71.42857142857143,0,100,331
43,220,controllers.singlePlayer.sampleRandom.Agent,241472,71.42857142857143,20,100,884
44,220,controllers.singlePlayer.sampleRandom.Agent,241472,71.42857142857143,12,100,672
45,220,controllers.singlePlayer.sampleRandom.Agent,241472,71.42857142857143,7,100,395
46,220,controllers.singlePlayer.sampleRandom.Agent,241472,71.42857142857143,8,100,826
47,223,controllers.singlePlayer.sampleRandom.Agent,241472,72.40259740259741,9,0,2000
48,223,controllers.singlePlayer.sampleRandom.Agent,241472,72.40259740259741,0,100,190
49,223,controllers.singlePlayer.sampleRandom.Agent,241472,72.40259740259741,0,100,208
