game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,7,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.0303030303030303,-5,0,1638
1,7,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.0303030303030303,0,0,2000
2,7,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.0303030303030303,0,0,2000
3,7,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.0303030303030303,0,0,2000
4,8,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.463203463203463,-5,0,1614
5,8,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.463203463203463,0,0,2000
6,8,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.463203463203463,-2,0,2000
7,8,controllers.singlePlayer.bestFirstSearch.Agent,333564,3.463203463203463,0,0,2000
8,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,-1,0,2000
9,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,0,0,2000
10,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,0,0,2000
11,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,0,0,2000
12,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,-5,0,1622
13,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,0,0,2000
14,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,0,0,2000
15,19,controllers.singlePlayer.bestFirstSearch.Agent,333564,8.225108225108226,0,0,2000
16,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
17,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
18,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
19,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
20,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
21,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
22,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,-4,0,2000
23,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
24,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
25,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
26,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,0,0,2000
27,22,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.523809523809524,-2,0,2000
28,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
29,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
30,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
31,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
32,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
33,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
34,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
35,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
36,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
37,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
38,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
39,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
40,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
41,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
42,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
43,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
44,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
45,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,-4,0,2000
46,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,-2,0,2000
47,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
48,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
49,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
50,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
51,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
52,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,-5,0,1620
53,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
54,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
55,23,controllers.singlePlayer.bestFirstSearch.Agent,333564,9.956709956709958,0,0,2000
56,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
57,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
58,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
59,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
60,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,-1,0,2000
61,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
62,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
63,37,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.017316017316016,0,0,2000
64,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
65,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
66,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
67,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,-2,0,2000
68,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
69,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
70,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
71,38,controllers.singlePlayer.bestFirstSearch.Agent,333564,16.450216450216452,0,0,2000
72,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
73,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
74,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
75,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
76,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,-1,0,2000
77,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
78,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
79,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
80,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
81,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
82,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
83,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
84,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
85,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
86,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
87,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,-2,0,2000
88,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,-1,0,2000
89,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
90,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
91,47,controllers.singlePlayer.bestFirstSearch.Agent,333564,20.346320346320347,0,0,2000
92,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,-6,0,2000
93,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,-2,0,2000
94,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,0,0,2000
95,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,0,0,2000
96,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,0,0,2000
97,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,0,0,2000
98,59,controllers.singlePlayer.bestFirstSearch.Agent,333564,25.541125541125542,-2,0,2000
