game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.1893939393939394,35,100,928
1,1,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.1893939393939394,23,0,650
2,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,1,0,450
3,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,19,0,661
4,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,11,0,584
5,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,1,0,418
6,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,13,0,498
7,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,9,0,510
8,2,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.3787878787878788,3,0,456
9,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,30,100,672
10,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,19,0,735
11,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,17,0,540
12,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,17,0,675
13,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,3,0,432
14,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,11,0,438
15,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,13,0,518
16,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,7,0,533
17,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,5,0,472
18,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,11,0,687
19,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,9,0,662
20,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,3,0,454
21,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,11,0,480
22,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,15,0,552
23,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,17,0,497
24,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,-3,0,384
25,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,-9,0,288
26,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,5,0,379
27,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,11,0,444
28,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,11,0,613
29,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,13,0,496
30,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,3,0,360
31,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,3,0,350
32,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,-5,0,422
33,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,9,0,470
34,3,controllers.singlePlayer.breadthFirstSearch.Agent,330000,0.5681818181818182,13,0,535
