game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,51,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,26.984126984126984,29,100,1000
1,79,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,41.7989417989418,11,0,828
2,84,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,44.44444444444444,6,0,571
3,94,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,49.735449735449734,19,0,677
4,96,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,50.79365079365079,1027,100,1000
5,122,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,64.55026455026454,10,0,649
6,122,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,64.55026455026454,1038,100,1000
7,122,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,64.55026455026454,27,100,1000
8,125,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,66.13756613756614,28,100,1000
9,131,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,69.31216931216932,1022,100,1000
10,131,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,69.31216931216932,6,0,741
11,142,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,75.13227513227513,38,100,1000
12,148,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,78.3068783068783,19,100,1000
13,153,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,80.95238095238095,20,100,1000
14,159,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,84.12698412698413,30,100,1000
15,169,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,89.41798941798942,1037,100,1000
16,171,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,90.47619047619048,31,100,1000
17,171,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,90.47619047619048,26,100,1000
18,173,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,91.53439153439153,32,100,1000
19,175,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,92.5925925925926,1036,100,1000
20,175,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,92.5925925925926,20,0,933
21,175,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,92.5925925925926,9,0,859
22,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,38,100,1000
23,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,33,100,1000
24,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,26,100,1000
25,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,24,100,1000
26,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,26,100,1000
27,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,1041,100,1000
28,177,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,93.65079365079364,30,100,1000
29,184,controllers.singlePlayer.sampleFlatMCTS.Agent,272916,97.35449735449735,40,100,1000
