game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,71,controllers.singlePlayer.sampleMCTS.Agent,241472,23.051948051948052,15,100,1290
1,119,controllers.singlePlayer.sampleMCTS.Agent,241472,38.63636363636363,12,100,1193
2,135,controllers.singlePlayer.sampleMCTS.Agent,241472,43.83116883116883,15,100,842
3,141,controllers.singlePlayer.sampleMCTS.Agent,241472,45.77922077922078,14,100,1147
4,144,controllers.singlePlayer.sampleMCTS.Agent,241472,46.75324675324675,14,100,1192
5,164,controllers.singlePlayer.sampleMCTS.Agent,241472,53.246753246753244,11,0,2000
6,164,controllers.singlePlayer.sampleMCTS.Agent,241472,53.246753246753244,5,100,1440
7,169,controllers.singlePlayer.sampleMCTS.Agent,241472,54.87012987012987,18,100,1029
8,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,4,100,1074
9,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,10,100,1175
10,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,21,100,1430
11,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,14,100,1444
12,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,11,100,985
13,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,11,100,993
14,182,controllers.singlePlayer.sampleMCTS.Agent,241472,59.09090909090909,22,100,1678
15,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,19,100,1571
16,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,16,100,1384
17,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,14,100,927
18,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,10,100,687
19,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,7,100,905
20,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,5,100,777
21,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,16,100,1651
22,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,17,100,1715
23,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,9,100,1433
24,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,13,100,1901
25,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,6,100,668
26,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,8,100,861
27,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,8,100,588
28,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,16,100,1081
29,184,controllers.singlePlayer.sampleMCTS.Agent,241472,59.74025974025974,6,100,986
30,186,controllers.singlePlayer.sampleMCTS.Agent,241472,60.3896103896104,5,100,811
31,186,controllers.singlePlayer.sampleMCTS.Agent,241472,60.3896103896104,8,100,1126
32,186,controllers.singlePlayer.sampleMCTS.Agent,241472,60.3896103896104,14,100,1674
