game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,11,controllers.singlePlayer.sampleRandom.Agent,333564,4.761904761904762,-9,0,82
1,50,controllers.singlePlayer.sampleRandom.Agent,333564,21.645021645021643,-25,0,1051
2,50,controllers.singlePlayer.sampleRandom.Agent,333564,21.645021645021643,-6,0,29
3,54,controllers.singlePlayer.sampleRandom.Agent,333564,23.376623376623375,-15,0,362
4,54,controllers.singlePlayer.sampleRandom.Agent,333564,23.376623376623375,-7,0,38
5,71,controllers.singlePlayer.sampleRandom.Agent,333564,30.735930735930733,-25,0,545
6,72,controllers.singlePlayer.sampleRandom.Agent,333564,31.16883116883117,-18,0,535
7,73,controllers.singlePlayer.sampleRandom.Agent,333564,31.601731601731604,-16,0,508
8,73,controllers.singlePlayer.sampleRandom.Agent,333564,31.601731601731604,-8,0,51
9,73,controllers.singlePlayer.sampleRandom.Agent,333564,31.601731601731604,-9,0,107
10,85,controllers.singlePlayer.sampleRandom.Agent,333564,36.79653679653679,-24,0,646
11,85,controllers.singlePlayer.sampleRandom.Agent,333564,36.79653679653679,-14,0,410
12,85,controllers.singlePlayer.sampleRandom.Agent,333564,36.79653679653679,-10,0,90
13,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-8,0,83
14,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-16,0,469
15,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-8,0,59
16,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-7,0,56
17,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-6,0,13
18,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-16,0,342
19,86,controllers.singlePlayer.sampleRandom.Agent,333564,37.22943722943723,-11,0,320
20,87,controllers.singlePlayer.sampleRandom.Agent,333564,37.66233766233766,-19,0,434
21,87,controllers.singlePlayer.sampleRandom.Agent,333564,37.66233766233766,-5,0,13
22,92,controllers.singlePlayer.sampleRandom.Agent,333564,39.82683982683983,-31,0,717
23,92,controllers.singlePlayer.sampleRandom.Agent,333564,39.82683982683983,-6,0,34
24,93,controllers.singlePlayer.sampleRandom.Agent,333564,40.25974025974026,-6,0,55
25,93,controllers.singlePlayer.sampleRandom.Agent,333564,40.25974025974026,-9,0,137
26,93,controllers.singlePlayer.sampleRandom.Agent,333564,40.25974025974026,-8,0,67
27,93,controllers.singlePlayer.sampleRandom.Agent,333564,40.25974025974026,-13,0,238
28,116,controllers.singlePlayer.sampleRandom.Agent,333564,50.21645021645021,-46,0,836
29,116,controllers.singlePlayer.sampleRandom.Agent,333564,50.21645021645021,-11,0,254
30,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-21,0,347
31,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-12,0,274
32,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-7,0,63
33,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-13,0,238
34,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-13,0,337
35,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-7,0,108
36,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-8,0,121
37,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-5,0,17
38,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-11,0,146
39,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-8,0,52
40,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-7,0,54
41,122,controllers.singlePlayer.sampleRandom.Agent,333564,52.81385281385281,-10,0,132
42,129,controllers.singlePlayer.sampleRandom.Agent,333564,55.84415584415584,-39,0,634
43,129,controllers.singlePlayer.sampleRandom.Agent,333564,55.84415584415584,-5,0,22
44,129,controllers.singlePlayer.sampleRandom.Agent,333564,55.84415584415584,-27,0,902
45,129,controllers.singlePlayer.sampleRandom.Agent,333564,55.84415584415584,-9,0,187
46,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-23,0,761
47,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-16,0,179
48,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-17,0,198
49,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-6,0,31
50,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-9,0,105
51,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-25,0,1976
52,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-5,0,7
53,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-19,0,412
54,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-21,0,351
55,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-12,0,209
56,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-7,0,29
57,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-6,0,45
58,131,controllers.singlePlayer.sampleRandom.Agent,333564,56.709956709956714,-6,0,13
