game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,57
1,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,54
2,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,50
3,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,0,0,22
4,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,58
5,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,45
6,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
7,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,42
8,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,41
9,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
10,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,41
11,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,44
12,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,43
13,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,36
14,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
15,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
16,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
17,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,40
18,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
19,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
20,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
21,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
22,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
23,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,43
24,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
25,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,36
26,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
27,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
28,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
29,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,36
30,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
31,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,34
32,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,34
33,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,34
34,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
35,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,34
36,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
37,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
38,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
39,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
40,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,43
41,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,36
42,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
43,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,44
44,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,34
45,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,38
46,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
47,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
48,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
49,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,36
50,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
51,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
52,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,37
53,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,35
54,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,43
55,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,46
56,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,46
57,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,42
58,16,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,13.675213675213676,1,100,36
59,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,48
60,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,43
61,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,37
62,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,34
63,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,36
64,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,35
65,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,34
66,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,35
67,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,35
68,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,34
69,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,34
70,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,36
71,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,37
72,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,39
73,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,36
74,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,37
75,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,35
76,19,controllers.singlePlayer.breadthFirstSearch2.Agent,435357,16.23931623931624,1,100,36
