game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,4,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,13.333333333333334,0,0,2000
1,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
2,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
3,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
4,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
5,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
6,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
7,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
8,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
9,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
10,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
11,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
12,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
13,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
14,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
15,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
16,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
17,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
18,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
19,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
20,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
21,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
22,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
23,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
24,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
25,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
26,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
27,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
28,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
29,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
30,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
31,6,controllers.singlePlayer.sampleFlatMCTS.Agent,75000,20,0,0,2000
