"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_14_9","337","controllers.singlePlayer.sampleOLMCTS.Agent","333564","147.16157205240174","-35","2000"
"GameData_1_0","21","controllers.singlePlayer.sampleOLMCTS.Agent","337920","6.382978723404255","67","464"
"GameData_2_2","150","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.03422053231939","0","2000"
"GameData_14_3","131","controllers.singlePlayer.sampleOLMCTS.Agent","333564","57.20524017467249","-40","2000"
"GameData_2_3","150","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.25190839694656","2","1854"
"GameData_14_4","141","controllers.singlePlayer.sampleOLMCTS.Agent","333564","61.572052401746724","-23","2000"
"GameData_2_0","115","controllers.singlePlayer.sampleOLMCTS.Agent","287496","43.72623574144487","0","2000"
"GameData_14_1","93","controllers.singlePlayer.sampleOLMCTS.Agent","333564","40.61135371179039","-23","2000"
"GameData_2_1","138","controllers.singlePlayer.sampleOLMCTS.Agent","287496","52.67175572519084","1","2000"
"GameData_14_2","122","controllers.singlePlayer.sampleOLMCTS.Agent","333564","53.275109170305676","-31","2000"
"GameData_2_6","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.414448669201526","0","2000"
"GameData_14_7","182","controllers.singlePlayer.sampleOLMCTS.Agent","333564","79.47598253275109","-33","2000"
"GameData_2_7","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.63358778625955","4","2000"
"GameData_14_8","182","controllers.singlePlayer.sampleOLMCTS.Agent","333564","79.47598253275109","-3","232"
"GameData_2_4","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.414448669201526","0","2000"
"GameData_14_5","159","controllers.singlePlayer.sampleOLMCTS.Agent","333564","69.43231441048034","-39","2000"
"GameData_2_5","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.414448669201526","0","2000"
"GameData_14_6","168","controllers.singlePlayer.sampleOLMCTS.Agent","333564","73.36244541484717","-34","2000"
"GameData_2_8","151","controllers.singlePlayer.sampleOLMCTS.Agent","287496","57.63358778625955","1","2000"
"GameData_2_9","139","controllers.singlePlayer.sampleOLMCTS.Agent","287496","52.851711026615966","0","2000"
"GameData_14_0","46","controllers.singlePlayer.sampleOLMCTS.Agent","333564","20.087336244541483","-30","2000"
