game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,19
1,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,9
2,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,8
3,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,8
4,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,9
5,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,8
6,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,7
7,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,8
8,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,8
9,6,controllers.singlePlayer.bestFirstSearch.Agent,87500,17.142857142857142,1,100,7
10,22,controllers.singlePlayer.bestFirstSearch.Agent,122500,44.89795918367347,1,100,39
11,22,controllers.singlePlayer.bestFirstSearch.Agent,122500,44.89795918367347,1,100,37
12,22,controllers.singlePlayer.bestFirstSearch.Agent,122500,44.89795918367347,1,100,37
13,23,controllers.singlePlayer.bestFirstSearch.Agent,122500,46.93877551020408,1,100,231
14,25,controllers.singlePlayer.bestFirstSearch.Agent,122500,51.02040816326531,1,100,79
15,25,controllers.singlePlayer.bestFirstSearch.Agent,122500,51.02040816326531,1,100,37
16,25,controllers.singlePlayer.bestFirstSearch.Agent,122500,51.02040816326531,1,100,36
17,25,controllers.singlePlayer.bestFirstSearch.Agent,122500,51.02040816326531,1,100,40
18,25,controllers.singlePlayer.bestFirstSearch.Agent,122500,51.02040816326531,1,100,39
19,25,controllers.singlePlayer.bestFirstSearch.Agent,122500,51.02040816326531,1,100,35
20,25,controllers.singlePlayer.bestFirstSearch.Agent,160000,39.0625,0,0,2
21,32,controllers.singlePlayer.bestFirstSearch.Agent,160000,50,1,100,86
22,32,controllers.singlePlayer.bestFirstSearch.Agent,160000,50,0,0,88
23,32,controllers.singlePlayer.bestFirstSearch.Agent,160000,50,0,0,11
24,32,controllers.singlePlayer.bestFirstSearch.Agent,160000,50,1,100,90
25,33,controllers.singlePlayer.bestFirstSearch.Agent,160000,51.5625,0,0,855
26,33,controllers.singlePlayer.bestFirstSearch.Agent,160000,51.5625,1,100,164
27,33,controllers.singlePlayer.bestFirstSearch.Agent,160000,51.5625,0,0,0
28,33,controllers.singlePlayer.bestFirstSearch.Agent,160000,51.5625,0,0,3
29,33,controllers.singlePlayer.bestFirstSearch.Agent,160000,51.5625,0,0,14
30,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,27
31,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,117
32,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,25
33,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,20
34,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,218
35,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,10
36,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,46
37,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,99
38,33,controllers.singlePlayer.bestFirstSearch.Agent,357500,23.076923076923077,0,0,193
39,83,controllers.singlePlayer.bestFirstSearch.Agent,357500,58.04195804195804,1,100,391
40,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,31
41,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,33
42,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,0,0,8
43,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,34
44,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,33
45,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,33
46,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,32
47,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,62
48,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,1,100,31
49,83,controllers.singlePlayer.bestFirstSearch.Agent,105000,197.61904761904762,0,0,2000
