game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,52
1,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,50
2,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,0
3,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,1
4,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,70
5,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,4
6,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,100
7,1,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,0.1893939393939394,0,0,16
8,14,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,2.6515151515151514,2,0,183
9,30,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,5.681818181818182,8,0,181
10,41,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,7.765151515151516,0,0,165
11,42,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,7.954545454545454,0,0,66
12,42,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,7.954545454545454,0,0,68
13,44,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,8.333333333333332,0,0,140
14,58,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,10.984848484848484,8,0,178
15,58,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,10.984848484848484,0,0,97
16,58,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,10.984848484848484,0,0,46
17,58,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,10.984848484848484,0,0,15
18,59,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.174242424242424,0,0,77
19,59,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.174242424242424,2,0,79
20,61,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.553030303030303,0,0,56
21,61,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.553030303030303,0,0,14
22,61,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.553030303030303,0,0,39
23,61,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.553030303030303,0,0,34
24,61,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,11.553030303030303,0,0,33
25,65,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,12.31060606060606,0,0,86
26,65,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,12.31060606060606,0,0,22
27,69,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,13.068181818181818,0,0,74
28,72,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,13.636363636363635,0,0,82
29,75,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,14.204545454545455,2,0,132
30,105,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,19.886363636363637,25,0,655
31,109,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,20.643939393939394,0,0,109
32,109,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,20.643939393939394,0,0,71
33,110,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,20.833333333333336,5,0,162
34,112,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,21.21212121212121,4,0,168
35,112,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,21.21212121212121,2,0,135
36,112,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,21.21212121212121,0,0,7
37,112,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,21.21212121212121,0,0,8
38,113,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,21.401515151515152,4,0,164
39,113,controllers.singlePlayer.breadthFirstSearch2.Agent,330000,21.401515151515152,0,0,33
40,113,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,22.42063492063492,14,0,135
41,113,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,22.42063492063492,0,0,17
42,113,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,22.42063492063492,0,0,58
43,113,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,22.42063492063492,0,0,11
44,113,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,22.42063492063492,0,0,16
45,113,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,22.42063492063492,4,0,67
46,122,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,24.206349206349206,0,0,85
47,122,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,24.206349206349206,0,0,63
48,127,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,25.198412698412696,2,0,85
49,131,controllers.singlePlayer.breadthFirstSearch2.Agent,315000,25.992063492063494,18,0,366
