game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,16,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,7.655502392344498,-1,0,389
1,16,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,7.655502392344498,-1,0,352
2,21,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,10.047846889952153,3,100,1000
3,22,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,10.526315789473683,6,100,1000
4,22,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,10.526315789473683,-1,0,434
5,34,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,16.267942583732058,-2,0,758
6,34,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,16.267942583732058,8,100,1000
7,34,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,16.267942583732058,-1,0,340
8,34,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,16.267942583732058,1,100,1000
9,34,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,16.267942583732058,-1,0,537
10,49,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,23.444976076555022,-1,0,514
11,64,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,30.62200956937799,-1,0,517
12,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,7,100,1000
13,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,-1,0,565
14,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,-1,0,458
15,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,-1,0,697
16,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,-1,0,436
17,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,-1,0,898
18,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,-2,0,715
19,71,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,33.97129186602871,3,100,1000
20,73,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,34.92822966507177,-1,0,830
21,74,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,35.406698564593306,2,100,1000
22,75,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,35.88516746411483,-1,0,598
23,87,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,41.62679425837321,0,100,1000
24,87,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,41.62679425837321,-1,0,498
25,87,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,41.62679425837321,-1,0,499
26,89,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,42.58373205741627,4,100,1000
27,89,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,42.58373205741627,-1,0,633
28,89,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,42.58373205741627,1,100,1000
29,90,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,43.0622009569378,-1,0,980
30,96,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,45.933014354066984,-1,0,71
31,102,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,48.803827751196174,-1,0,101
32,102,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,48.803827751196174,-1,0,67
33,106,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,50.717703349282296,-1,0,101
34,106,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,50.717703349282296,-1,0,81
35,108,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,51.674641148325364,-1,0,119
36,109,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,52.15311004784689,-2,0,119
37,110,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,52.63157894736842,-1,0,121
38,110,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,52.63157894736842,-1,0,106
39,112,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,53.588516746411486,-1,0,142
40,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,120
41,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,81
42,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,151
43,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,75
44,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-2,0,75
45,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,101
46,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-2,0,131
47,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-2,0,72
48,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,96
49,115,controllers.singlePlayer.sampleFlatMCTS.Agent,368676,55.02392344497608,-1,0,97
