game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,89,controllers.singlePlayer.sampleMCTS.Agent,368676,42.58373205741627,7,100,1000
1,107,controllers.singlePlayer.sampleMCTS.Agent,368676,51.196172248803826,7,100,1000
2,107,controllers.singlePlayer.sampleMCTS.Agent,368676,51.196172248803826,2,100,1000
3,107,controllers.singlePlayer.sampleMCTS.Agent,368676,51.196172248803826,-1,0,542
4,108,controllers.singlePlayer.sampleMCTS.Agent,368676,51.674641148325364,6,100,1000
5,108,controllers.singlePlayer.sampleMCTS.Agent,368676,51.674641148325364,5,100,1000
6,111,controllers.singlePlayer.sampleMCTS.Agent,368676,53.110047846889955,6,100,1000
7,112,controllers.singlePlayer.sampleMCTS.Agent,368676,53.588516746411486,7,100,1000
8,112,controllers.singlePlayer.sampleMCTS.Agent,368676,53.588516746411486,8,100,1000
9,112,controllers.singlePlayer.sampleMCTS.Agent,368676,53.588516746411486,8,100,1000
10,136,controllers.singlePlayer.sampleMCTS.Agent,368676,65.07177033492823,-1,0,733
11,137,controllers.singlePlayer.sampleMCTS.Agent,368676,65.55023923444976,5,100,1000
12,137,controllers.singlePlayer.sampleMCTS.Agent,368676,65.55023923444976,1,100,1000
13,138,controllers.singlePlayer.sampleMCTS.Agent,368676,66.02870813397129,2,100,1000
14,139,controllers.singlePlayer.sampleMCTS.Agent,368676,66.50717703349282,5,0,513
15,139,controllers.singlePlayer.sampleMCTS.Agent,368676,66.50717703349282,8,100,1000
16,139,controllers.singlePlayer.sampleMCTS.Agent,368676,66.50717703349282,-2,0,392
17,139,controllers.singlePlayer.sampleMCTS.Agent,368676,66.50717703349282,3,100,1000
18,139,controllers.singlePlayer.sampleMCTS.Agent,368676,66.50717703349282,-3,0,946
19,139,controllers.singlePlayer.sampleMCTS.Agent,368676,66.50717703349282,-1,0,457
20,142,controllers.singlePlayer.sampleMCTS.Agent,368676,67.94258373205741,-1,0,917
21,142,controllers.singlePlayer.sampleMCTS.Agent,368676,67.94258373205741,-1,0,894
22,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,8,100,1000
23,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,3,100,1000
24,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,0,100,1000
25,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,4,100,1000
26,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,3,0,383
27,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,2,100,1000
28,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,2,100,1000
29,144,controllers.singlePlayer.sampleMCTS.Agent,368676,68.89952153110048,6,100,1000
30,146,controllers.singlePlayer.sampleMCTS.Agent,368676,69.85645933014354,-1,0,51
31,146,controllers.singlePlayer.sampleMCTS.Agent,368676,69.85645933014354,-2,0,31
32,147,controllers.singlePlayer.sampleMCTS.Agent,368676,70.33492822966507,-1,0,55
33,149,controllers.singlePlayer.sampleMCTS.Agent,368676,71.29186602870813,-1,0,76
34,149,controllers.singlePlayer.sampleMCTS.Agent,368676,71.29186602870813,-1,0,94
35,149,controllers.singlePlayer.sampleMCTS.Agent,368676,71.29186602870813,-1,0,97
36,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-3,0,89
37,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-1,0,57
38,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-1,0,75
39,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-1,0,67
40,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-2,0,147
41,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-1,0,113
42,150,controllers.singlePlayer.sampleMCTS.Agent,368676,71.77033492822966,-1,0,123
43,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-4,0,107
44,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-1,0,154
45,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-1,0,107
46,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-1,0,109
47,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-1,0,134
48,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-1,0,107
49,151,controllers.singlePlayer.sampleMCTS.Agent,368676,72.24880382775119,-1,0,103
