game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,6,controllers.singlePlayer.sampleOLMCTS.Agent,75000,20,5,100,25
1,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,0,0,2000
2,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,0,0,2000
3,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,0,0,2000
4,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,5,100,9
5,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,5,100,13
6,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,5,100,18
7,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,0,0,2000
8,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,0,0,2000
9,7,controllers.singlePlayer.sampleOLMCTS.Agent,75000,23.333333333333332,0,0,2000
10,20,controllers.singlePlayer.sampleOLMCTS.Agent,292500,17.094017094017094,0,0,2000
11,22,controllers.singlePlayer.sampleOLMCTS.Agent,292500,18.803418803418804,0,0,2000
12,23,controllers.singlePlayer.sampleOLMCTS.Agent,292500,19.65811965811966,0,0,2000
13,23,controllers.singlePlayer.sampleOLMCTS.Agent,292500,19.65811965811966,0,0,2000
14,23,controllers.singlePlayer.sampleOLMCTS.Agent,292500,19.65811965811966,0,0,2000
15,23,controllers.singlePlayer.sampleOLMCTS.Agent,292500,19.65811965811966,0,0,2000
16,23,controllers.singlePlayer.sampleOLMCTS.Agent,292500,19.65811965811966,0,0,2000
17,23,controllers.singlePlayer.sampleOLMCTS.Agent,292500,19.65811965811966,0,0,2000
18,25,controllers.singlePlayer.sampleOLMCTS.Agent,292500,21.367521367521366,0,0,2000
19,25,controllers.singlePlayer.sampleOLMCTS.Agent,292500,21.367521367521366,0,0,1995
20,45,controllers.singlePlayer.sampleOLMCTS.Agent,325000,34.61538461538461,0,0,2000
21,45,controllers.singlePlayer.sampleOLMCTS.Agent,325000,34.61538461538461,0,0,2000
22,46,controllers.singlePlayer.sampleOLMCTS.Agent,325000,35.38461538461539,0,0,2000
23,46,controllers.singlePlayer.sampleOLMCTS.Agent,325000,35.38461538461539,0,0,2000
24,46,controllers.singlePlayer.sampleOLMCTS.Agent,325000,35.38461538461539,0,0,2000
25,46,controllers.singlePlayer.sampleOLMCTS.Agent,325000,35.38461538461539,0,0,2000
26,46,controllers.singlePlayer.sampleOLMCTS.Agent,325000,35.38461538461539,0,0,2000
27,47,controllers.singlePlayer.sampleOLMCTS.Agent,325000,36.15384615384615,0,0,2000
28,47,controllers.singlePlayer.sampleOLMCTS.Agent,325000,36.15384615384615,0,0,2000
29,47,controllers.singlePlayer.sampleOLMCTS.Agent,325000,36.15384615384615,0,0,2000
30,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,5,0,2000
31,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,4,0,2000
32,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,4,0,2000
33,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,2,0,2000
34,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,4,0,2000
35,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,3,0,2000
36,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,5,0,2000
37,54,controllers.singlePlayer.sampleOLMCTS.Agent,357500,37.76223776223776,5,0,2000
38,55,controllers.singlePlayer.sampleOLMCTS.Agent,357500,38.46153846153847,2,0,2000
39,55,controllers.singlePlayer.sampleOLMCTS.Agent,357500,38.46153846153847,2,0,2000
40,55,controllers.singlePlayer.sampleOLMCTS.Agent,157500,87.3015873015873,1,0,2000
41,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,1,0,2000
42,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,3,0,2000
43,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,2,0,2000
44,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,2,0,2000
45,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,1,0,2000
46,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,2,0,2000
47,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,2,0,2000
48,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,1,0,2000
49,57,controllers.singlePlayer.sampleOLMCTS.Agent,157500,90.47619047619048,1,0,2000
