game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,81,controllers.singlePlayer.sampleRandom.Agent,368676,38.75598086124402,8,100,1000
1,107,controllers.singlePlayer.sampleRandom.Agent,368676,51.196172248803826,4,0,653
2,107,controllers.singlePlayer.sampleRandom.Agent,368676,51.196172248803826,1,0,518
3,113,controllers.singlePlayer.sampleRandom.Agent,368676,54.066985645933016,7,0,425
4,113,controllers.singlePlayer.sampleRandom.Agent,368676,54.066985645933016,-2,0,226
5,113,controllers.singlePlayer.sampleRandom.Agent,368676,54.066985645933016,-1,0,243
6,113,controllers.singlePlayer.sampleRandom.Agent,368676,54.066985645933016,1,0,430
7,114,controllers.singlePlayer.sampleRandom.Agent,368676,54.54545454545454,7,0,822
8,114,controllers.singlePlayer.sampleRandom.Agent,368676,54.54545454545454,5,0,273
9,114,controllers.singlePlayer.sampleRandom.Agent,368676,54.54545454545454,6,0,179
10,118,controllers.singlePlayer.sampleRandom.Agent,368676,56.45933014354066,-3,0,448
11,123,controllers.singlePlayer.sampleRandom.Agent,368676,58.85167464114832,-1,0,168
12,125,controllers.singlePlayer.sampleRandom.Agent,368676,59.80861244019139,0,0,238
13,125,controllers.singlePlayer.sampleRandom.Agent,368676,59.80861244019139,-1,0,348
14,125,controllers.singlePlayer.sampleRandom.Agent,368676,59.80861244019139,3,0,45
15,125,controllers.singlePlayer.sampleRandom.Agent,368676,59.80861244019139,-1,0,115
16,125,controllers.singlePlayer.sampleRandom.Agent,368676,59.80861244019139,2,0,284
17,127,controllers.singlePlayer.sampleRandom.Agent,368676,60.76555023923444,1,0,264
18,127,controllers.singlePlayer.sampleRandom.Agent,368676,60.76555023923444,-11,0,496
19,129,controllers.singlePlayer.sampleRandom.Agent,368676,61.72248803827751,2,0,90
20,141,controllers.singlePlayer.sampleRandom.Agent,368676,67.46411483253588,-2,0,469
21,141,controllers.singlePlayer.sampleRandom.Agent,368676,67.46411483253588,-3,0,423
22,141,controllers.singlePlayer.sampleRandom.Agent,368676,67.46411483253588,-1,0,603
23,142,controllers.singlePlayer.sampleRandom.Agent,368676,67.94258373205741,-1,0,314
24,142,controllers.singlePlayer.sampleRandom.Agent,368676,67.94258373205741,-3,0,251
25,142,controllers.singlePlayer.sampleRandom.Agent,368676,67.94258373205741,-2,0,462
26,142,controllers.singlePlayer.sampleRandom.Agent,368676,67.94258373205741,-2,0,145
27,142,controllers.singlePlayer.sampleRandom.Agent,368676,67.94258373205741,-2,0,581
28,144,controllers.singlePlayer.sampleRandom.Agent,368676,68.89952153110048,-1,0,253
29,144,controllers.singlePlayer.sampleRandom.Agent,368676,68.89952153110048,-1,0,354
30,146,controllers.singlePlayer.sampleRandom.Agent,368676,69.85645933014354,2,0,12
31,146,controllers.singlePlayer.sampleRandom.Agent,368676,69.85645933014354,-1,0,15
32,146,controllers.singlePlayer.sampleRandom.Agent,368676,69.85645933014354,-1,0,13
33,147,controllers.singlePlayer.sampleRandom.Agent,368676,70.33492822966507,-1,0,105
34,147,controllers.singlePlayer.sampleRandom.Agent,368676,70.33492822966507,-1,0,28
35,147,controllers.singlePlayer.sampleRandom.Agent,368676,70.33492822966507,0,0,10
36,150,controllers.singlePlayer.sampleRandom.Agent,368676,71.77033492822966,-1,0,78
37,150,controllers.singlePlayer.sampleRandom.Agent,368676,71.77033492822966,-1,0,60
38,150,controllers.singlePlayer.sampleRandom.Agent,368676,71.77033492822966,1,0,15
39,150,controllers.singlePlayer.sampleRandom.Agent,368676,71.77033492822966,3,0,19
40,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,12
41,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,21
42,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,31
43,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,42
44,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,50
45,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-5,0,85
46,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,92
47,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,61
48,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,37
49,151,controllers.singlePlayer.sampleRandom.Agent,368676,72.24880382775119,-1,0,23
