game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,2,controllers.singlePlayer.breadthFirstSearch.Agent,241472,0.6493506493506493,8,100,1207
1,2,controllers.singlePlayer.breadthFirstSearch.Agent,241472,0.6493506493506493,2,100,1009
2,2,controllers.singlePlayer.breadthFirstSearch.Agent,241472,0.6493506493506493,2,100,1565
3,10,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.2467532467532463,3,100,1623
4,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,2,100,1094
5,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,8,100,1832
6,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,7,100,1612
7,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,8,100,1247
8,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,7,100,1854
9,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,2,100,1119
10,11,controllers.singlePlayer.breadthFirstSearch.Agent,241472,3.571428571428571,8,100,1702
11,13,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.220779220779221,5,100,1939
12,14,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.545454545454546,5,100,1607
13,14,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.545454545454546,12,100,1521
14,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,4,100,937
15,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,3,100,1431
16,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,7,0,2000
17,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,9,100,967
18,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,4,100,1895
19,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,0,100,1063
20,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,8,100,1409
21,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,8,0,2000
22,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,10,100,785
23,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,6,100,1671
24,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,5,100,1339
25,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,2,100,769
26,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,9,100,1108
27,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,8,100,1724
28,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,7,100,1455
29,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,8,100,876
30,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,6,100,908
31,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,9,100,1137
32,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,4,100,1090
33,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,5,100,1057
34,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,6,100,1207
35,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,0,100,1806
36,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,4,100,737
37,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,10,100,1231
38,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,6,100,1097
39,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,6,100,856
40,15,controllers.singlePlayer.breadthFirstSearch.Agent,241472,4.870129870129871,2,100,1462
