game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,69,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,29.87012987012987,-36,0,2000
1,120,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,51.94805194805194,-27,0,2000
2,152,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,65.80086580086581,-21,0,2000
3,165,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,71.42857142857143,-28,0,2000
4,178,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,77.05627705627705,-41,0,2000
5,189,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,81.81818181818183,-56,0,2000
6,191,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,82.68398268398268,-8,0,2000
7,193,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,83.54978354978356,-16,0,2000
8,198,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,85.71428571428571,-34,0,2000
9,200,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,86.58008658008657,-30,0,2000
10,204,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,88.31168831168831,-28,0,2000
11,204,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,88.31168831168831,-30,0,2000
12,205,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,88.74458874458875,-37,0,2000
13,205,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,88.74458874458875,-11,0,2000
14,207,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,89.6103896103896,-40,0,2000
15,209,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,90.47619047619048,-45,0,2000
16,210,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,90.9090909090909,-24,0,2000
17,210,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,90.9090909090909,-30,0,2000
18,210,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,90.9090909090909,-17,0,2000
19,213,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,92.20779220779221,-25,0,2000
20,213,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,92.20779220779221,-31,0,2000
21,215,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,93.07359307359307,-57,0,2000
22,215,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,93.07359307359307,-42,0,2000
23,215,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,93.07359307359307,-45,0,2000
24,215,controllers.singlePlayer.breadthFirstSearch2.Agent,333564,93.07359307359307,-52,0,2000
